Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
6737,25,23.5455,F,4,0,N/A,STIPostImmigrating,0,178,9,0,1,INFORMAL,PAUSED,11,2,4
6738,25,23.5482,F,4,1,local,STIPreEmigrating,0,178,9,0,1,INFORMAL,PAUSED,11,2,4
6738,68,51.5721,M,3,1,local,STIPreEmigrating,0,176,3,0,1,INFORMAL,PAUSED,31,3,0
6738,68,51.5721,M,1,0,N/A,STIPostImmigrating,0,176,3,0,1,INFORMAL,PAUSED,31,1,0
6738,25,23.5482,F,1,0,N/A,STIPostImmigrating,0,178,9,0,1,INFORMAL,PAUSED,11,2,1
6739,27,47.6298,F,3,2,local,STIPreEmigrating,0,171,38,0,1,INFORMAL,PAUSED,29,0,3
6739,75,17.0219,F,2,4,local,STIPreEmigrating,0,170,37,0,1,INFORMAL,PAUSED,73,0,2
6739,75,17.0219,F,4,0,N/A,STIPostImmigrating,0,170,37,0,1,INFORMAL,PAUSED,73,0,4
6739,27,47.6298,F,2,0,N/A,STIPostImmigrating,0,171,38,0,1,INFORMAL,NORMAL,29,2,2
6742,43,28.5868,F,4,2,local,STIPreEmigrating,0,158,80,0,1,INFORMAL,PAUSED,10,0,4
6742,43,28.5868,F,2,0,N/A,STIPostImmigrating,0,158,80,0,1,INFORMAL,NORMAL,10,2,2
6744,85,16.6329,F,2,4,local,STIPreEmigrating,0,173,7,0,1,INFORMAL,PAUSED,69,0,2
6744,85,16.6329,F,4,0,N/A,STIPostImmigrating,0,173,7,0,1,INFORMAL,NORMAL,69,4,4
6745,41,35.5893,M,1,4,local,STIPreEmigrating,0,174,22,0,1,INFORMAL,PAUSED,32,1,1
6745,41,35.5893,M,4,0,N/A,STIPostImmigrating,0,174,22,0,1,INFORMAL,PAUSED,32,4,1
6747,23,42.8996,F,1,2,local,STIPreEmigrating,0,168,4,0,1,INFORMAL,PAUSED,55,0,1
6747,23,42.8996,F,2,0,N/A,STIPostImmigrating,0,168,4,0,1,INFORMAL,PAUSED,55,0,2
6749,29,48.9737,M,2,4,local,STIPreEmigrating,0,171,40,0,1,INFORMAL,PAUSED,27,2,2
6749,29,48.9737,M,4,0,N/A,STIPostImmigrating,0,171,40,0,1,INFORMAL,PAUSED,27,4,2
